都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員,分類,開所時間,閉所時間,保育標準開始時間,保育標準終了時間,保育短時間開始時間,保育短時間終了時間,一時預かり事業の種類,基本的な利用できる曜日,基本的な利用できる時間（開始時間）,基本的な利用できる時間（終了時間）,基本的な利用できる歳児,予約を開始する概ねの時期,利用料、免除基準,備考（一時預かり）,募集人数・申込人数の該当月,募集人数（0歳）,募集人数（1歳）,募集人数（2歳）,募集人数（3歳）,募集人数（4歳）,募集人数（5歳）,申込人数（0歳）,申込人数（1歳）,申込人数（2歳）,申込人数（3歳）,申込人数（4歳）,申込人数（5歳）,申込数集計日,備考
221309,11101,静岡県,浜松市,佐鳴台こども園,サナルダイコドモエン,4328021,中央区,浜松市中央区佐鳴台三丁目31-2,,34.705383,137.695770,(053)449-0744,浜松市,140,幼保連携型認定こども園,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,1,21,11,6,2,1,0,2025-12-19,
221309,21101,静岡県,浜松市,ひくまこども園,ヒクマコドモエン,4300901,中央区,浜松市中央区曳馬四丁目8-12,,34.729259,137.744824,(053)464-4069,（福）松寿会,120,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"1歳児,2歳児,3歳児,4歳児,5歳児",随時,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,32,20,5,3,1,2,2025-12-19,
221309,21102,静岡県,浜松市,なかざわこども園,ナカザワコドモエン,4300904,中央区,浜松市中央区中沢町58-9,,34.722851,137.727827,(053)471-0497,（学）空華学園,90,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,2,0,0,0,5,3,0,0,1,0,2025-12-19,
221309,21103,静岡県,浜松市,相生こども園,アイオイコドモエン,4300805,中央区,浜松市中央区相生町14-30,,34.708184,137.748593,(053)461-6519,（学）相生学園,110,幼保連携型認定こども園,7:30,18:30,7:30,18:30,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,0,0,0,20,7,6,0,0,1,2025-12-19,
221309,21104,静岡県,浜松市,瑞雲こども園,ズイウンコドモエン,4300807,中央区,浜松市中央区佐藤二丁目22-1,,34.713571,137.748791,(053)464-9557,（福）瑞陵会,120,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,21,5,6,0,1,0,2025-12-19,
221309,21106,静岡県,浜松市,遊歩の丘にしおかこども園,ユウホノオカニシオカコドモエン,4338116,中央区,浜松市中央区西丘町296,,34.767395,137.691542,(053)420-1818,（福）一葉会福祉事業団,90,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,12,3,1,1,3,0,2025-12-19,
221309,21107,静岡県,浜松市,みそらこども園,ミソラコドモエン,4328047,中央区,浜松市中央区神田町513,,34.690702,137.718880,(053)443-9836,（福）どれみ会,120,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,27,4,6,2,0,0,2025-12-19,
221309,21108,静岡県,浜松市,聖隷こども園めぐみ,セイレイコドモエンメグミ,4338125,中央区,浜松市中央区和合町555-1,,34.741295,137.700944,(053)401-1212,（福）聖隷福祉事業団,210,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,10,1,1,3,1,0,2025-12-19,
221309,21109,静岡県,浜松市,和合こども園,ワゴウコドモエン,4338125,中央区,浜松市中央区和合町220-1280,,34.742243,137.708270,(053)472-2522,（福）遠淡海会,110,幼保連携型認定こども園,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,17:00,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,13,1,3,0,2,0,2025-12-19,
221309,21110,静岡県,浜松市,れんげこども園,レンゲコドモエン,4338127,中央区,浜松市中央区和合北一丁目2-37,,34.736530,137.722325,(053)482-8241,（福）木華会,120,幼保連携型認定こども園,7:00,18:30,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,18:00,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",随時,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,6,0,0,3,0,0,2025-12-19,
