都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員
221309,72101,静岡県,浜松市,遠鉄グループ保育園　かみじま,エンテツグループホイクエンカミジマ,4338122,中央区,浜松市中央区上島四丁目28-19,,34.74338,137.746506,(053)454-2301,遠州鉄道株式会社,40
221309,72102,静岡県,浜松市,ヒーローズ保育園駅南～きこりのおうち～,ヒーローズホイクエンエキナン～キコリノオウチ～,4328034,中央区,浜松市中央区塩町57,,34.701296,137.728655,(053)401-1661,合同会社きこりのおうち,17
221309,72103,静岡県,浜松市,キッズハウスもとしろ,キッズハウスモトシロ,4300946,中央区,浜松市中央区元城町219-21,,34.709754,137.727780,(053)401-0180,合同会社元気いっぱい夢いっぱい,12
221309,72104,静岡県,浜松市,ヒーローズ保育園　住吉,ヒーローズホイクエンスミヨシ,4300906,中央区,浜松市中央区住吉五丁目12-7,,34.734862,137.729415,(053)474-8511,合同会社ちゃいるど,19
221309,72105,静岡県,浜松市,遠鉄グループ保育園　さなるだい,エンテツグループホイクエンサナルダイ,4328021,中央区,浜松市中央区佐鳴台四丁目9-21,,34.707349,137.700062,(053)454-2301,遠州鉄道株式会社,40
221309,72106,静岡県,浜松市,遠鉄グループ保育園　えきまえ,エンテツグループホイクエンエキマエ,4300934,中央区,浜松市中央区千歳町91-1,,34.703690,137.731041,(053)457-5210,株式会社遠鉄百貨店,40
221309,72107,静岡県,浜松市,託児所るれいるーむ,タクジショルレイルーム,4300923,中央区,浜松市中央区北寺島町211-8,,34.703974,137.741405,(053)489-9221,株式会社東海美工,23
221309,72108,静岡県,浜松市,nino保育園,ニーノホイクエン,4300856,中央区,浜松市中央区中島三丁目25-3,,34.699782,137.749847,(053)582-6100,株式会社milu,12
221309,72109,静岡県,浜松市,はままつ竹の子保育園,ハママツタケノコホイクエン,4328041,中央区,浜松市中央区菅原町9-31,,34.699506,137.725646,(053)543-7733,株式会社呉竹荘,15
221309,72111,静岡県,浜松市,ぬくもりのおうちママサポート保育　板屋町園,ヌクモリノオウチママサポートホイクイタヤマチエン,4300928,中央区,浜松市中央区板屋町101-10,伊藤ビル,34.707938,137.733758,(053)415-8821,ぬくもりのおうち保育株式会社,19
