都道府県コード又は市区町村コード,都道府県名,市区町村名,事業所番号,法人名,事業所名,郵便番号,区,所在地,緯度,経度,電話番号,支援区分　障がい者(18歳以上),支援区分　障がい児(18歳未満),備考,NO
221309,静岡県,浜松市,001,社会福祉法人　聖隷福祉事業団,聖隷厚生園信生寮,4311304,浜名区,浜松市浜名区細江町中川7220-1,34.793752,137.692623,(053)437-4511,○,○,,1
221309,静岡県,浜松市,002,社会福祉法人　聖隷福祉事業団,障害者支援施設みるとす,4338125,中央区,浜松市中央区和合町555,34.742267,137.701347,(053)478-0800,○,○,,2
221309,静岡県,浜松市,003,社会福祉法人　天竜厚生会,あかいし学園,4340015,浜名区,浜松市浜名区於呂4201-13,34.853268,137.792817,(053)583-1136,○,○,,3
221309,静岡県,浜松市,004,社会福祉法人　天竜厚生会,赤石寮,4313423,天竜区,浜松市天竜区渡ヶ島324,34.858677,137.792509,(053)583-1137,○,○,,4
221309,静岡県,浜松市,005,社会福祉法人　天竜厚生会,赤松寮,4313423,天竜区,浜松市天竜区渡ヶ島20-7,34.856447,137.791275,(053)583-1140,○,○,,5
221309,静岡県,浜松市,006,社会福祉法人　天竜厚生会,厚生寮,4340015,浜名区,浜松市浜名区於呂4201-12,34.854683,137.791969,(053)583-1127,○,○,,6
221309,静岡県,浜松市,007,社会福祉法人　天竜厚生会,浜北学苑,4340015,浜名区,浜松市浜名区於呂4201-6,34.855456,137.792702,(053)583-1129,○,,,7
221309,静岡県,浜松市,008,社会福祉法人　天竜厚生会,浜名,4340015,浜名区,浜松市浜名区於呂4201-12,34.854683,137.791969,(053)583-1128,○,○,,8
221309,静岡県,浜松市,009,社会福祉法人　小羊学園,三方原スクエア児童部,4338105,中央区,浜松市中央区三方原町2709-12,34.788897,137.695450,(053)414-1833,,○,,9
221309,静岡県,浜松市,010,社会福祉法人　小羊学園,三方原スクエア成人部,4338105,中央区,浜松市中央区三方原町2709-12,34.788897,137.695450,(053)414-1833,○,,,10
221309,静岡県,浜松市,011,社会福祉法人　小羊学園,支援センターわかぎ,4340041,浜名区,浜松市浜名区平口5042,34.800160,137.756548,(053)587-2614,○,○,,11
221309,静岡県,浜松市,013,社会福祉法人　小羊学園,オリーブの樹,4340002,浜名区,浜松市浜名区尾野462-2,34.827233,137.789009,(053)582-3415,○,○,,12
221309,静岡県,浜松市,014,社会福祉法人　遠浜会,ほっと,4300844,中央区,浜松市中央区江之島町954-5,34.663170,137.756023,(053)427-2010,○,,,13
221309,静岡県,浜松市,015,社会福祉法人　菊水光明会,光明学園,4328005,中央区,浜松市中央区神ヶ谷町4717-2,34.722627,137.679305,(053)485-1500,○,,,14
221309,静岡県,浜松市,016,社会福祉法人　昴会,四季の郷,4311102,中央区,浜松市中央区大山町3133-1,34.778038,137.682274,(053)439-5137,○,,,15
221309,静岡県,浜松市,017,社会福祉法人　ひかりの園,浜松協働学舎根洗寮,4338108,中央区,浜松市中央区根洗町681-5,34.796553,137.698042,(053)430-0596,○,○,,16
221309,静岡県,浜松市,019,社会福祉法人　みどりの樹,あるば,4340026,浜名区,浜松市浜名区東美薗591-1,34.796264,137.801937,(053)585-5730,,○,,17
221309,静岡県,浜松市,020,特定非営利活動法人　ドリーム・フィールド,ドリーム・フィールド,4350013,中央区,浜松市中央区天龍川町201,34.720091,137.778691,(053)422-5203,○,○,,18
221309,静岡県,浜松市,021,社会福祉法人　復泉会,くるみ共同作業所,4338101,中央区,浜松市中央区三幸町201-5,34.798424,137.723719,(053)430-6180,○,,,19
221309,静岡県,浜松市,022,社会福祉法人　復泉会,第2くるみ作業所,4338125,中央区,浜松市中央区和合町179-6,34.736204,137.714677,(053)474-6240,○,○,,20
221309,静岡県,浜松市,023,社会福祉法人　復泉会,くるみの木,4338121,中央区,浜松市中央区萩丘5-13-10,34.752396,137.732425,(053)474-2123,○,○,,21
221309,静岡県,浜松市,024,社会福祉法人　復泉会,くるみ作業所,4328044,中央区,浜松市中央区南浅田2-12-26,34.686353,137.730664,(053)444-3228,○,○,,22
