都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員,開所時間,閉所時間,保育標準開始時間,保育標準終了時間,保育短時間開始時間,保育短時間終了時間,一時預かり事業の種類,基本的な利用できる曜日,基本的な利用できる時間（開始時間）,基本的な利用できる時間（終了時間）,基本的な利用できる歳児,予約を開始する概ねの時期,利用料、免除基準,備考（一時預かり）,募集人数・申込人数の該当月,募集人数（0歳）,募集人数（1歳）,募集人数（2歳）,募集人数（3歳）,募集人数（4歳）,募集人数（5歳）,申込人数（0歳）,申込人数（1歳）,申込人数（2歳）,申込人数（3歳）,申込人数（4歳）,申込人数（5歳）,申込数集計日,備考
221309,52101,静岡県,浜松市,聖隷浜松病院ひばり保育園,セイレイハママツビョウインヒバリホイクエン,4300906,中央区,浜松市中央区住吉二丁目24-4,,34.732696,137.724422,（053）474-3123,（福）聖隷福祉事業団,20,7:30,21:30,7:30,18:30,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,,,,2,1,0,,,,2025-12-19,
221309,52102,静岡県,浜松市,あゆみ保育園,アユミホイクエン,4328021,中央区,浜松市中央区佐鳴台五丁目9-5,,34.713773,137.699282,（053）454-0804,（公財）浜松市医療公社,20,7:15,19:15,7:15,18:15,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,1,0,,,,1,0,1,,,,2025-12-19,
221309,52103,静岡県,浜松市,キッズホームてんとうむし,キッズホームテントウムシ,4338109,中央区,浜松市中央区花川町819,,34.773769,137.681136,（053）414-6011,（福）慶成会,9,7:00,19:00,7:00,18:00,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,,,,0,0,0,,,,2025-12-19,
221309,52104,静岡県,浜松市,しんえい保育園,シンエイホイクエン,4338124,中央区,浜松市中央区泉二丁目31-10,,34.744259,137.719785,（053）476-5955,（有）伸栄総合サービス,16,7:00,20:00,7:00,18:00,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,,,,1,1,0,,,,2025-12-19,
221309,52105,静岡県,浜松市,遊歩の丘まちなかナーサリー,ユウホノオカマチナカナーサリー,4300929,中央区,浜松市中央区中央一丁目2-2-102,イーステージ浜松タワー,34.711651,137.734736,（053）401-4441,（福）一葉会福祉事業団,21,7:00,18:00,7:00,18:00,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,,,,3,2,0,,,,2025-12-19,
221309,52106,静岡県,浜松市,KIKI保育園　中島園,キキホイクエンナカジマエン,4300856,中央区,浜松市中央区中島四丁目8-5,,34.696939,137.747796,（053）544-9818,（同）REON,6,7:30,18:30,7:30,18:30,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",8:00,17:00,"0歳児（産休明から）,1歳児,2歳児,3歳児",随時,"0～2歳児は市の基準により実施、3歳以上児は園が独自に設定　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,0,0,0,,,,2025-12-19,
221309,52107,静岡県,浜松市,あいあい保育ルーム,アイアイホイクルーム,4338117,中央区,浜松市中央区高丘東三丁目38-5,,34.759570,137.720340,（053）414-5577,（株）アイケア,19,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,18:00,"0歳児（3か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",随時,"0～2歳児は市の基準により実施、3歳以上児は園が独自に設定　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,1,,,,0,0,0,,,,2025-12-19,
221309,52108,静岡県,浜松市,湖東の森保育園,コトウノモリホイクエン,4311103,中央区,浜松市中央区湖東町1074,,34.761144,137.661034,（053）486-3513,（福）晃仁会,8,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,16:30,"0歳児（6か月から）,1歳児,2歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,0,0,0,,,,2025-12-19,
221309,52109,静岡県,浜松市,こりす保育園,コリスホイクエン,4328001,中央区,浜松市中央区西山町518-6,,34.737071,137.689091,（053）485-7011,（医）社団一穂会,5,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:30,"0歳児（10か月から）,1歳児,2歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,1,0,0,,,,2025-12-19,
221309,52110,静岡県,浜松市,すみれ保育園,スミレホイクエン,4328053,中央区,浜松市中央区法枝町227-3,,34.679002,137.726441,（053）443-1155,（医）弘遠会,8,7:30,18:30,7:30,18:30,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（産休明から）,1歳児,2歳児,3歳児",おおむね1週間前,"0～2歳児は市の基準により実施、3歳以上児は園が独自に設定　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,2,0,0,,,,2025-12-19,
