都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員,開所時間,閉所時間,保育標準開始時間,保育標準終了時間,保育短時間開始時間,保育短時間終了時間,一時預かり事業の種類,基本的な利用できる曜日,基本的な利用できる時間（開始時間）,基本的な利用できる時間（終了時間）,基本的な利用できる歳児,予約を開始する概ねの時期,利用料、免除基準,備考（一時預かり）,募集人数・申込人数の該当月,募集人数（0歳）,募集人数（1歳）,募集人数（2歳）,募集人数（3歳）,募集人数（4歳）,募集人数（5歳）,申込人数（0歳）,申込人数（1歳）,申込人数（2歳）,申込人数（3歳）,申込人数（4歳）,申込人数（5歳）,申込数集計日,備考
221309,41101,静岡県,浜松市,ロイコスプレスクール,ロイコスプレスクール,4328011,中央区,浜松市中央区城北二丁目16-36,,34.723435,137.720062,（053）471-0391,（福）浜松児童福祉園,40,7:15,18:45,7:15,18:15,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児",おおむね3週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,1,0,0,0,0,0,2025-12-19,
221309,41102,静岡県,浜松市,こばと保育園,コバトホイクエン,4300907,中央区,浜松市中央区高林四丁目14-13,,34.730117,137.732465,（053）471-0739,（福）こばと会,120,7:00,19:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,1,0,0,0,0,0,3,2,0,0,0,1,2025-12-19,
221309,41103,静岡県,浜松市,天使園子どもの家,テンシエンコドモノイエ,4328035,中央区,浜松市中央区成子町23-1,,34.701598,137.726207,（053）452-0203,（福）聖母福祉会,60,7:25,18:55,7:25,18:25,9:00,17:00,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（8か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,5,3,1,0,0,0,2025-12-19,
221309,41105,静岡県,浜松市,ヘリオスプレスクール,ヘリオスプレスクール,4328053,中央区,浜松市中央区法枝町124,,34.685860,137.727952,（053）442-9198,（福）浜松児童福祉園,110,7:15,18:45,7:15,18:15,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,1,0,0,2,2,0,1,0,2,2025-12-19,
221309,41106,静岡県,浜松市,ルンビニープレスクール,ルンビニープレスクール,4300923,中央区,浜松市中央区北寺島町160,,34.701741,137.740994,（053）453-3568,（福）浜松児童福祉園,70,7:00,18:30,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,4歳児,5歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,16,1,1,0,0,0,2025-12-19,
221309,41107,静岡県,浜松市,なのはな保育園,ナノハナホイクエン,4300929,中央区,浜松市中央区中央三丁目4-7,,34.707784,137.741321,（053）453-2620,（福）たんぽぽ会,100,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,2,2,0,4,1,5,0,0,0,2025-12-19,
221309,41108,静岡県,浜松市,チャイルドスクエア浜松花川,チャイルドスクエアハママツハナカワ,4338109,中央区,浜松市中央区花川町1846,,34.774327,137.689306,（053）414-1212,（福）カナの会,60,7:15,19:15,7:15,18:15,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,16:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",随時,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,1,1,1,1,1,0,0,0,0,0,0,2025-12-19,
221309,41109,静岡県,浜松市,まつのき保育園,マツノキホイクエン,4328038,中央区,浜松市中央区西伊場町7-5,,34.700824,137.708022,（053）488-6166,（福）みんなの森福祉会,110,7:20,18:20,7:20,18:20,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,5,3,1,1,0,0,2025-12-19,
221309,41110,静岡県,浜松市,みみ・あんふぁんしゅしゅ,ミミ・アンファンシュシュ,4338125,中央区,浜松市中央区和合町220-489,,34.745481,137.709305,（053）523-7488,（福）あんじゅの森,60,7:00,18:30,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,7,0,1,0,0,0,2025-12-19,
221309,41131,静岡県,浜松市,はぐみな保育園,ハグミナホイクエン,4338111,中央区,浜松市中央区葵西六丁目6-30,,34.770051,137.703071,（053）570-3583,（同）MiMoチルコロ,80,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",8:30,16:30,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円【3～5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,4,3,1,2,0,0,2025-12-19,
