都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,URL,設置主体,定員,対象年齢[受入],対象年齢[最終],休園日,開所時間,閉所時間,教育標準開始時間,教育標準終了時間,延長保育の有無,延長保育[朝の開始時間],延長保育[夕方の終了時間],延長保育[利用料],延長保育[特記事項],一時預かり保育の有無,一時預かり保育の型,一時預かり保育[特記事項],備考
221309,16101,静岡県,浜松市,浜松市立南の星幼稚園,ハママツシリツミナミノホシヨウチエン,4300837,中央区,浜松市中央区西島町1148-1,,34.662615,137.768259,（053）425-2836,https://www.city.hamamatsu-szo.ed.jp/minaminohoshi-k/,浜松市,60,,,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,無,,,,,,,,
221309,16102,静岡県,浜松市,浜松市立和田幼稚園,ハママツシリツワダヨウチエン,4350017,中央区,浜松市中央区薬師町291,,34.725429,137.783205,（053）421-2942,https://www.city.hamamatsu-szo.ed.jp/wada-k/,浜松市,80,,,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,無,,,,,,,,
221309,16103,静岡県,浜松市,浜松市立与進幼稚園,ハママツシリツヨシンヨウチエン,4350051,中央区,浜松市中央区市野町2404-1,,34.741753,137.770641,（053）421-1442,https://www.city.hamamatsu-szo.ed.jp/yoshin-k/,浜松市,120,,,土・日・祝日・夏・冬・春休み,7:30,18:30,8:20,14:00,有,0.3125,0.770833333,開園前100円、降園から16:30まで150円、以後1時間ごと100円,,,,,
221309,16104,静岡県,浜松市,浜松市立豊西幼稚園,ハママツシリツトヨニシヨウチエン,4313102,中央区,浜松市中央区豊西町1551,,34.766139,137.804165,（053）434-1259,https://www.city.hamamatsu-szo.ed.jp/toyonishi-k/,浜松市,90,,,土・日・祝日・夏・冬・春休み,7:30,18:30,8:30,14:00,有,0.3125,0.770833333,開園前100円、降園から16:30まで150円、以後1時間ごと100円,,,,,
221309,16105,静岡県,浜松市,浜松市立笠井幼稚園,ハママツシリツカサイヨウチエン,4313107,中央区,浜松市中央区笠井町478-1,,34.770869,137.795206,（053）434-1205,https://www.city.hamamatsu-szo.ed.jp/kasai-k/,浜松市,80,,,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,無,,,,,,,,
221309,16106,静岡県,浜松市,浜松市立中ノ町幼稚園,ハママツシリツナカノマチヨウチエン,4350004,中央区,浜松市中央区中野町427-1,,34.729300,137.793527,（053）421-3873,https://www.city.hamamatsu-szo.ed.jp/nakanomachi-k/,浜松市,70,,,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,無,,,,,,,,
221309,16107,静岡県,浜松市,浜松市立芳川幼稚園,ハママツシリツホウガワヨウチエン,4300813,中央区,浜松市中央区芳川町190,,34.693027,137.765301,（053）461-5642,https://www.city.hamamatsu-szo.ed.jp/hogawa-k/,浜松市,70,,,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,無,,,,,,,,
221309,16108,静岡県,浜松市,浜松市立花川幼稚園,ハママツシリツハナカワヨウチエン,4338109,中央区,浜松市中央区花川町1908-1,,34.774195,137.687348,（053）436-1209,https://www.city.hamamatsu-szo.ed.jp/hanakawa-k/,浜松市,30,,,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,無,,,,,,,,
221309,16109,静岡県,浜松市,浜松市立豊岡幼稚園,ハママツシリツトヨオカヨウチエン,4338103,中央区,浜松市中央区豊岡町22,,34.786960,137.719417,（053）436-2155,https://www.city.hamamatsu-szo.ed.jp/toyooka-k/,浜松市,130,,,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,無,,,,,,,,
221309,16110,静岡県,浜松市,浜松市立三方原幼稚園,ハママツシリツミカタハラヨウチエン,4338105,中央区,浜松市中央区三方原町284-7,,34.774587,137.710829,（053）436-2516,https://www.city.hamamatsu-szo.ed.jp/mikatahara-k/,浜松市,70,,,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,無,,,,,,,,
