都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員,開所時間,閉所時間,保育標準開始時間,保育標準終了時間,保育短時間開始時間,保育短時間終了時間,一時預かり事業の種類,基本的な利用できる曜日,基本的な利用できる時間（開始時間）,基本的な利用できる時間（終了時間）,基本的な利用できる歳児,予約を開始する概ねの時期,利用料、免除基準,備考（一時預かり）,募集人数・申込人数の該当月,募集人数（0歳）,募集人数（1歳）,募集人数（2歳）,募集人数（3歳）,募集人数（4歳）,募集人数（5歳）,申込人数（0歳）,申込人数（1歳）,申込人数（2歳）,申込人数（3歳）,申込人数（4歳）,申込人数（5歳）,申込数集計日,備考
221309,51101,静岡県,浜松市,託児所みんなおいで,タクジショミンナオイデ,4328002,中央区,浜松市中央区富塚町649-7,,34.729525,137.712573,(053)476-4486,（同）みんなおいで,12,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",7:00,18:00,"0歳児（3か月から）,1歳児,2歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,1,3,,,,2,0,0,,,,2025-12-19,
221309,51103,静岡県,浜松市,ととけっこー,トトケッコー,4300901,中央区,浜松市中央区曳馬三丁目36-34,,34.728752,137.743725,(053)411-3390,（福）松寿会,12,7:00,18:00,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（8か月から）,1歳児,2歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,9,6,1,,,,2025-12-19,
221309,51104,静岡県,浜松市,エンゼル第二保育園,エンゼルダイニホイクエン,4338117,中央区,浜松市中央区高丘東四丁目4-12,,34.757172,137.709317,(053)437-4108,（株）エンゼル保育サポート,19,7:00,18:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,1,0,0,,,,0,0,0,,,,2025-12-19,
221309,51105,静岡県,浜松市,アソカ学園　城北ナーサリー,アソカガクエン　ジョウホクナーサリー,4328004,中央区,浜松市中央区文丘町27-22,,34.727072,137.715740,(053)401-1551,（学）無憂樹学園,19,7:30,18:30,7:30,18:30,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,,,,9,1,2,,,,2025-12-19,
221309,51106,静岡県,浜松市,ぬくもりのおうち保育浜松園,ヌクモリノオウチホイクハママツエン,4300929,中央区,浜松市中央区中央三丁目7-1,,34.707909,137.738112,(053)401-0588,ぬくもりのおうち保育（株）,12,7:30,19:30,7:30,18:30,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,0,,,,1,0,0,,,,2025-12-19,
221309,51107,静岡県,浜松市,ハレルヤ第二愛児園,ハレルヤダイニアイジエン,4338109,中央区,浜松市中央区花川町351,,34.778501,137.694347,(053)438-8996,（宗）ハレルヤコミュニティーチャーチ浜松教会,19,7:00,18:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,1,2,0,,,,1,2,0,,,,2025-12-19,
221309,51108,静岡県,浜松市,保育ルーム瑞雲,ホイクルームズイウン,4300807,中央区,浜松市中央区佐藤三丁目15-9,,34.713212,137.750137,(053)464-8000,（福）瑞陵会,9,7:00,18:00,7:00,18:00,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,,,,8,0,2,,,,2025-12-19,
221309,51109,静岡県,浜松市,みみ・あんふぁん,ミミアンファン,4338123,中央区,浜松市中央区幸一丁目2-17,,34.737971,137.724524,(053)482-8933,（同）みみ・あんふぁん,12,7:00,18:30,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,1,0,0,,,,3,1,0,,,,2025-12-19,
221309,51110,静岡県,浜松市,和敬第二愛育園,ワケイダイニアイイクエン,4338118,中央区,浜松市中央区高丘西三丁目30-17,,34.760725,137.697136,(053)439-7587,（株）和敬愛育園,19,7:30,18:30,7:30,18:30,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,16:30,"0歳児（1歳から）,1歳児,2歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,1,0,1,,,,0,1,0,,,,2025-12-19,
221309,51112,静岡県,浜松市,聖隷のあ保育園,セイレイノアホイクエン,4300917,中央区,浜松市中央区常盤町144-6,,34.709512,137.732715,(053)488-5533,（福）聖隷福祉事業団,19,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:30,16:30,"0歳児（産休明から）,1歳児,2歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,3,0,0,,,,2025-12-19,
221309,51113,静岡県,浜松市,ぬくもりのおうち保育砂山町園,ヌクモリノオウチホイクスナヤマチョウエン,4300926,中央区,浜松市中央区砂山町1091,,34.700514,137.734348,(053)543-7400,ぬくもりのおうち保育（株）,12,7:30,19:30,7:30,18:30,9:00,17:00,実施していない,,,,,,,,令和8年2月,1,0,0,,,,0,0,0,,,,2025-12-19,
221309,51114,静岡県,浜松市,エンゼル第三保育園,エンゼルダイサンホイクエン,4338117,中央区,浜松市中央区高丘東四丁目5-39,,34.757343,137.709203,(053)437-4108,（株）エンゼル保育サポート,19,7:00,18:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,0,,,,0,0,0,,,,2025-12-19,
221309,51115,静岡県,浜松市,ヒーローズ早出保育園,ヒーローズソウデホイクエン,4350054,中央区,浜松市中央区早出町1362-8,,34.727274,137.748661,(053)544-6470,（株）ヒーローズホールディングス,19,7:00,19:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,1,,,,3,1,0,,,,2025-12-19,
221309,51116,静岡県,浜松市,スクルドエンジェル保育園浜松園,スクルドエンジェルホイクエンハママツエン,4328002,中央区,浜松市中央区富塚町1933-1,佐鳴湖パークタウンサウス1B3号室,34.722018,137.698767,(053)525-7500,パシフィック・サスティナブル・インベストメント（株）,19,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",10:00,16:00,"0歳児（3か月から）,1歳児,2歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,2,0,0,,,,2025-12-19,
221309,51118,静岡県,浜松市,しあわせいっぱい保育園,シアワセイッパイホイクエン,4300917,中央区,浜松市中央区常盤町143-27,,34.710224,137.732503,(053)523-9261,（株）ハンドシェイク,19,7:00,18:30,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,1,3,,,,2,1,0,,,,2025-12-19,
221309,51119,静岡県,浜松市,ハグくみベビー浜松園,ハグクミベビーハママツエン,4300811,中央区,浜松市中央区名塚町162-1,,34.702230,137.756917,(053)401-8932,（株）優人,19,7:00,19:00,7:00,18:00,9:00,17:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",9:00,17:00,"0歳児（6か月から）,1歳児,2歳児,3歳児,4歳児,5歳児",随時,"0～2歳児は市の基準により実施、3歳以上児は園が独自に設定　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,2,0,,,,1,0,0,,,,2025-12-19,
221309,51120,静岡県,浜松市,はぐみなの息吹保育園,ハグミナノイブキホイクエン,4338116,中央区,浜松市中央区西丘町145,,34.770620,137.689574,(053)420-8937,（同）MiMoチルコロ,19,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,16:30,"0歳児（6か月から）,1歳児,2歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,2,0,0,,,,3,0,0,,,,2025-12-19,
221309,51121,静岡県,浜松市,ヒーローズなかじま保育園,ヒーローズナカジマホイクエン,4300856,中央区,浜松市中央区中島二丁目20-3,,34.703146,137.747383,(053)544-9727,（株）ヒーローズキッズ,19,7:00,19:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,1,1,,,,1,0,0,,,,2025-12-19,
221309,51122,静岡県,浜松市,"LIGHT HOUSE 保育園",ライトハウスホイクエン,4300901,中央区,浜松市中央区曳馬六丁目21-43,,34.739471,137.736176,(053)473-7522,（有）鴻林,19,7:00,19:00,7:00,18:00,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（産休明から）,1歳児,2歳児",おおむね1週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,1,0,,,,2,0,0,,,,2025-12-19,
221309,51123,静岡県,浜松市,ハピネス保育園,ハピネスホイクエン,4328021,中央区,浜松市中央区佐鳴台三丁目38-1,,34.706007,137.694976,(053)523-6097,（株）ALL　FOR　ONE,15,7:30,18:30,7:30,18:30,9:00,17:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（6か月から）,1歳児,2歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,0,0,1,,,,2025-12-19,
221309,51124,静岡県,浜松市,みかんの家,ミカンノイエ,4328038,中央区,浜松市中央区西伊場町7-4,,34.701152,137.707939,(053)488-6167,（福）みんなの森福祉会,12,7:20,18:20,7:20,18:20,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,1,,,,1,1,0,,,,2025-12-19,
221309,51125,静岡県,浜松市,和敬第三愛育園,ワケイダイサンアイイクエン,4338118,中央区,浜松市中央区高丘西二丁目34-14,,34.760824,137.700408,(053)488-5040,（株）和敬愛育園,12,7:30,18:30,7:30,18:30,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,16:30,"0歳児（12か月から）,1歳児,2歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,0,0,0,,,,2025-12-19,
221309,51150,静岡県,浜松市,ハピファニ保育園,ハピファニホイクエン,4300935,中央区,浜松市中央区伝馬町311-7,,34.705884,137.727913,(080)7644-5738,（株）ALL　FOR　ONE,12,7:30,18:30,7:30,18:30,9:00,17:00,実施していない,,,,,,,,令和8年2月,0,0,0,,,,0,0,0,,,,2025-12-19,
221309,51126,静岡県,浜松市,つばめ保育園,ツバメホイクエン,4313123,中央区,浜松市中央区有玉西町2197-2,,34.752466,137.735856,(053)571-1729,（株）ケアネットつばめ,16,7:30,19:30,7:30,18:30,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,0,,,,0,0,0,,,,2025-12-19,
221309,51127,静岡県,浜松市,それいゆ保育園,ソレイユホイクエン,4313113,中央区,浜松市中央区大瀬町413-2,,34.761158,137.760086,(053)582-7210,（株）それいゆ保育園,15,7:30,18:30,7:30,18:30,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,1,,,,0,0,0,,,,2025-12-19,
221309,51128,静岡県,浜松市,"小規模保育室 いずみっこ",ショウキボホイクシツイズミッコ,4350056,中央区,浜松市中央区小池町743-1,,34.750886,137.761084,(053)435-4030,（福）いずみ会,12,7:30,18:30,7:30,18:30,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",9:00,16:00,"0歳児（3か月から）,1歳児,2歳児",おおむね1か月前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,1,0,0,,,,2,1,1,,,,2025-12-19,
221309,51129,静岡県,浜松市,ありがとう保育園,アリガトウホイクエン,4313125,中央区,浜松市中央区半田山五丁目4-15,,34.776112,137.738109,(053)401-6455,（一社）ぽっぷちゃいるど,12,7:30,18:30,7:30,18:30,8:30,16:30,実施していない,,,,,,,,令和8年2月,1,0,0,,,,0,0,1,,,,2025-12-19,
221309,51131,静岡県,浜松市,遊歩の丘かみにしナーサリー,ユウホノオカカミニシナーサリー,4350048,中央区,浜松市中央区上西町863,,34.723500,137.760311,(053)468-1818,（福）一葉会福祉事業団,18,7:00,18:30,7:00,18:00,8:30,16:30,実施していない,,,,,,,,令和8年2月,0,0,0,,,,21,7,1,,,,2025-12-19,
221309,51132,静岡県,浜松市,ぬくもりのおうち保育西ケ崎園,ヌクモリノオウチホイクニシガサキエン,4313115,中央区,浜松市中央区西ケ崎町757-1,,34.775728,137.771354,(053)544-9001,ぬくもりのおうち保育（株）,12,7:30,19:30,7:30,18:30,9:00,17:00,実施していない,,,,,,,,令和8年2月,0,1,0,,,,1,1,0,,,,2025-12-19,
221309,51133,静岡県,浜松市,そらいろのおうち,ソライロノオウチ,4350001,中央区,浜松市中央区上石田町1558-1,,34.748690,137.783070,(053)401-7715,（福）青林福祉会,12,7:00,18:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,0,,,,3,3,0,,,,2025-12-19,
221309,51134,静岡県,浜松市,浜松東保育園,ハママツヒガシホイクエン,4350042,中央区,浜松市中央区篠ケ瀬町581,,34.727567,137.778263,(053)401-5590,（福）全人会,18,7:00,19:00,7:00,18:00,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,16:30,"0歳児（6か月から）,1歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,0,0,0,,,,2025-12-19,
221309,51151,静岡県,浜松市,さくら保育園小池,サクラホイクエンコイケ,4350056,中央区,浜松市中央区小池町2693,,34.740000,137.756395,(053)466-1555,（株）SAKURA,19,7:00,19:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,3,0,0,,,,0,1,0,,,,2025-12-19,
221309,51152,静岡県,浜松市,さくら保育園植松,サクラホイクエンウエマツ,4300803,中央区,浜松市中央区植松町1479-1,,34.715935,137.761899,(053)544-4224,（株）SAKURA,19,7:00,19:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,0,,,,2,1,0,,,,2025-12-19,
221309,51153,静岡県,浜松市,上石田の星保育園,カミイシダノホシホイクエン,4350001,中央区,浜松市中央区上石田町2325,,34.751774,137.784890,(053)544-7007,コツヨシ（株）,19,7:00,19:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,0,,,,1,1,0,,,,2025-12-19,
221309,51135,静岡県,浜松市,佐鳴保育園,サナルホイクエン,4328061,中央区,浜松市中央区入野町6361,,34.699793,137.687885,(053)448-5268,（株）さなるのおうち,19,7:30,19:00,7:30,18:30,8:00,16:00,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",8:30,18:00,"0歳児（3か月から）,1歳児,2歳児,3歳児",随時,"0～2歳児は市の基準により実施、3歳以上児は園が独自に設定　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,2,3,1,,,,2025-12-19,
221309,51136,静岡県,浜松市,いりのの森。浜松幼稚舎,イリノノモリハママツヨウチシャ,4328061,中央区,浜松市中央区入野町16104-1,,34.701238,137.668742,(053)482-9383,（株）ビューティースマイル,12,7:30,18:30,7:30,18:30,8:30,16:30,一時預かり事業（余裕活用型）,"月曜日,火曜日,水曜日,木曜日,金曜日",8:30,16:30,"0歳児（6か月から）,1歳児,2歳児",おおむね2週間前,"市の基準により実施　※【0～2歳児】4時間未満:1,200円、4時間以上:2,000円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,,,,4,1,0,,,,2025-12-19,
221309,51137,静岡県,浜松市,入野保育園,イリノホイクエン,4328061,中央区,浜松市中央区入野町10824-1,,34.695964,137.673841,(053)401-1004,（福）白百合明光会,10,7:00,18:00,7:00,18:00,8:00,16:00,実施していない,,,,,,,,令和8年2月,0,0,0,,,,3,1,0,,,,2025-12-19,
