都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員
221309,73101,静岡県,浜松市,上島キッズスクエア,カミジマキッズスクエア,4338122,中央区,浜松市中央区上島三丁目1-3,,34.738289,137.744087,(053)466-5513,有限会社ママ・アンド・パパス,4
221309,73102,静岡県,浜松市,"Hug Me International School HAMAMATSU",ハグミーインターナショナルスクールハママツ,4328031,中央区,浜松市中央区平田町108,なめだホワイトビル1階2階,34.701972,137.730041,(053)488-8780,株式会社カインドネス,92
221309,73103,静岡県,浜松市,ベビー＆キッズroomひより,ベビーアンドキッズルームヒヨリ,4300901,中央区,浜松市中央区曳馬五丁目,,-,-,,田中安紀子,3
221309,73104,静岡県,浜松市,鴨江幼稚園,カモエヨウチエン,4328024,中央区,浜松市中央区鴨江町97-3,,34.704568,137.721139,(053)452-5456,学校法人鴨江寺学園,12
221309,73105,静岡県,浜松市,第2つばめ保育園,ダイニツバメホイクエン,4313123,中央区,浜松市中央区有玉西町2197-2,,34.752466,137.735856,(053)571-1148,株式会社ケアネットつばめ,8
221309,73111,静岡県,浜松市,本田技研一時保育室,ホンダギケンイチジホイクシツ,4338501,中央区,浜松市中央区葵東一丁目13-1,,34.752902,137.718248,,本田技研工業株式会社トランスミッション製造部浜松製作所,25
221309,73113,静岡県,浜松市,ヤクルト浜松南センター保育所,ヤクルトハママツミナミセンターホイクジョ,4300854,中央区,浜松市中央区瓜内町2411,,34.683876,137.729723,,西静岡ヤクルト販売株式会社,20
221309,73114,静岡県,浜松市,ヤクルト浜松北センター保育所,ヤクルトハママツキタセンターホイクジョ,4338111,中央区,浜松市中央区葵西四丁目16-28,,34.771538,137.705296,,西静岡ヤクルト販売株式会社,20
221309,73116,静岡県,浜松市,ヤクルト助信センター保育所,ヤクルトスケノブセンターホイクジョ,4300911,中央区,浜松市中央区高林四丁目3-14,,34.728249,137.733209,,西静岡ヤクルト販売株式会社,20
221309,73117,静岡県,浜松市,ふじっこ,フジッコ,4338123,中央区,浜松市中央区幸四丁目21-1,,34.744059,137.729710,,社会福祉法人藤花幸寿会,9
221309,73119,静岡県,浜松市,ヤクルト浜松東センター保育所,ヤクルトハママツヒガシセンターホイクジョ,4300802,中央区,浜松市中央区将監町27-12,,34.714888,137.758058,,西静岡ヤクルト販売株式会社,19
221309,73120,静岡県,浜松市,Rim,リム,4300803,中央区,浜松市中央区植松町1386-1,,34.712195,137.756185,,株式会社N.R.S,5
221309,73121,静岡県,浜松市,ヤクルト浜松西センター保育所,ヤクルトハママツニシセンターホイクジョ,4328069,中央区,浜松市中央区志都呂一丁目12-12,,34.699054,137.661284,,西静岡ヤクルト販売株式会社,20
221309,73122,静岡県,浜松市,ヤクルト遠州中央センター保育所,ヤクルトエンシュウチュウオウセンターホイクジョ,4350026,中央区,浜松市中央区金折町593,,34.695646,137.779849,,西静岡ヤクルト販売株式会社,14
221309,73123,静岡県,浜松市,JA静岡厚生連遠州病院あおぞら保育園,ジェーエーシズオカコウセイレンエンシュウビョウインアオゾラホイクエン,4300929,中央区,浜松市中央区中央一丁目1-1,,34.712902,137.734625,,静岡県厚生農業協同組合連合会,24
221309,73124,静岡県,浜松市,フラワー保育園,フラワーホイクエン,4300903,中央区,浜松市中央区助信町27-26,,34.721167,137.733738,,有限会社メディカルアイカイ,10
221309,73125,静岡県,浜松市,浜松北病院きしゃぽっぽ保育園,ハママツキタビョウインキシャポッポホイクエン,4313113,中央区,浜松市中央区大瀬町1567-2,,34.762880,137.772132,,医療法人社団盛翔会,29
221309,73126,静岡県,浜松市,タンポポ保育所,タンポポホイクジョ,4300802,中央区,浜松市中央区将監町25,K-102,34.716725,137.755704,,独立行政法人労働者健康安全機構浜松労災病院,20
221309,73127,静岡県,浜松市,医大保育所きらり,イダイホイクジョキラリ,4313192,中央区,浜松市中央区半田山一丁目20-1,,34.769159,137.744416,,国立大学法人浜松医科大学,35
221309,73128,静岡県,浜松市,浜松南病院にこにこ保育園,ハママツミナミビョウインニコニコホイクエン,4300846,中央区,浜松市中央区白羽町26,,34.684478,137.739187,,医療法人社団綾和会,8
221309,73129,静岡県,浜松市,とよおかキッズ,トヨオカキッズ,4338103,中央区,浜松市中央区豊岡町110,,34.788743,137.736355,,医療法人豊岡会,51
221309,73130,静岡県,浜松市,SBSマイホームセンター浜松展示場,エスビーエスマイホームセンターハママツテンジジョウ,4350037,中央区,浜松市中央区青屋町400,,34.716357,137.780646,(053)464-6167,SBSマイホームセンター株式会社,6
221309,73131,静岡県,浜松市,"Hug Me International School SAKURA",ハグミーインターナショナルスクールサクラ,4350056,中央区,浜松市中央区小池町2693,,34.739987,137.756397,(053)466-1555,株式会社SAKURA,30
221309,73132,静岡県,浜松市,"mama HOUSE　よりどころ",ママハウスヨリドコロ,4313107,中央区,浜松市中央区笠井町,,-,-,,松島　愛,3
221309,73201,静岡県,浜松市,みんなの保育園　大地,ミンナノホイクエンダイチ,4312205,浜名区,浜松市浜名区引佐町伊平630-1,,34.863350,137.662345,(053)401-2136,NPO法人大地,5
221309,73202,静岡県,浜松市,ヤクルト三ヶ日ゾーン保育所,ヤクルトミッカビゾーンホイクジョ,4311402,浜名区,浜松市浜名区三ヶ日町都筑1140-1,,34.791495,137.582312,,西静岡ヤクルト販売株式会社,15
221309,73203,静岡県,浜松市,ヤクルト浜北中央センター保育所,ヤクルトハマキタチュウオウセンターホイクジョ,4340026,浜名区,浜松市浜名区東美薗198-1,,34.791558,137.801898,,西静岡ヤクルト販売株式会社,20
